title,rating,price
"Samsung Galaxy A06 Dual Sim 6GB RAM 128GB Storage Android Smartphone, 6.7-Inch Screen Size, Black- 1 Year Warranty/Local Version",4.2 out of 5 stars,"5,832."
Redmi14C (8+256G) Midnight Black MediaTek Helio G81-Ultra | 50MP AI dual camera | 1 Year Warranty/Local Version,4.0 out of 5 stars,3 sizes
"Xiaomi Redmi A5 Smartphone 4GB + 128GB, Battery 5200mAh Octa-Core Processor, 32MP Al Dual Camera, 6.88 Inch Display, Midnight Black| 18 Month manufacturer warranty",3.7 out of 5 stars,"4,555."
"Xiaomi Redmi Note 14 Smartphone, 8 + 256 GB, Black, 108 MP AI Camera System, 5500 mAh Battery, 120 Hz Eye Protection Display, AI Functions | 18 Month manufacturer warranty",4.2 out of 5 stars,"9,444."
"Infinix SMART 10–Iris Blue""120Hz LCD Display 6.67 inches,4+4GB RAM, 128GB Storage,8MP Front & Rear Camera, IP64, 5000mAh,Type-C, Android 15, Dual SIM, 24Month Warranty, 6 month screen Warranty",4.2 out of 5 stars,"3,999."
"Samsung Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Iceblue -1 Year Warranty/Local Version, Tax Paid",3.8 out of 5 stars,"16,199."
"Xiaomi POCO C75 C3NP Immersive 6.88"" display 5160mAh battery Clear 50MP AI dual camera Powerful octa-core processor Up to 120Hz High refresh rate 8+256 (Black) |1 year manufacturer warranty",4.1 out of 5 stars,"6,290."
"Samsung Galaxy A26 5G, Android Smartphone, 256GB Storage, 8GB RAM, Black, 50MP Camera, Large Display, Long Battery Life 1 Year Warranty/Local Version",4.4 out of 5 stars,"13,599."
"Samsung Galaxy A16 LTE, Android Smartphone, Dual SIM Mobile Phone, 6GB RAM, 128GB Storage, Gray, 1 Year Warranty/Local Version",4.3 out of 5 stars,"8,943."
"Samsung Galaxy M55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Black 1 Year Warranty/Local Version",4.2 out of 5 stars,"12,999."
"Samsung Galaxy A36 5G, Android Smartphone, 256GB Storage, 8GB RAM, Black, 6x OS Upgrades, Large Display, Octa-Core Processor 1 Year Warranty/Local Version",4.4 out of 5 stars,"16,990."
"Samsung Galaxy A05s, Android Smartphone, Dual SIM Mobile Phone, LTE, 4GB RAM, 128GB Storage, Silver",4.2 out of 5 stars,"5,377."
"Infinix Hot 50i (6+6) 12GB RAM 128GB Smartphone, Sage Green- 1 Year Warranty",4.2 out of 5 stars,"4,798."
"HONOR X6c 6GB RAM 128GB Storage, 50MP AI Camera, 5200mAh Battery, MediaTek Helio Moonlight White |1 year manufacturer warranty",4.4 out of 5 stars,"5,710."
"Samsung Galaxy A56 5G, Android Smartphone, 256GB Storage, 12GB RAM, Awesome Pink, 6x OS Upgrades, Large Display, Long Battery Life 1 Year Warranty/Local Version",4.1 out of 5 stars,"23,333."
"Samsung Galaxy A16 LTE, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Black (1 Year Local Warranty)",4.2 out of 5 stars,"EGP 9,791.00"
"Xiaomi Redmi 13 Midnight Black 8GB RAM 128GB ROM Mediatek helio G91 ultra processor| 6.79"" FHD| Triple Camera 13MP Front camera | 2-pin charger |1 year manufacturer warranty how many",4.0 out of 5 stars,"6,666."
"Motorola Moto g35 5G 8GB RAM 256GB UFS 2.2 Android 14 LCD Smartphone, Leaf Green (Pack include charger and cover) 2 Years Warranty",3.7 out of 5 stars,"7,348."
Infinix Hot 50i 4G Smartphone 256GB Storage 8+8GB RAM - Sleek Black,4.2 out of 5 stars,"5,499."
Apple iPhone 13 (128 GB) - Midnight with Face ID | Tax Paid | 2 Years Official Warranty,4.3 out of 5 stars,"EGP 31,950.00"
